rollTimeSum:70964 awardDistance:["64694"]
rollTimeSum:1353551 awardDistance:["1168477"]
rollTimeSum:2111197 awardDistance:["690102"]
rollTimeSum:i305374 awardDistance:["7460579"]
rollTimeSum:i502320 awardDistance:["179207"]
rollTimeSum:iii414790 awardDistance:["18131568"]
rollTimeSum:iiiiiiii3797454 awardDistance:["48611187"]
rollTimeSum:iiiiiiii7004695 awardDistance:["2920707"]
rollTimeSum:iiiiiiiiii2472254 awardDistance:["14082747"]
rollTimeSum:iiiiiiiiii2669200 awardDistance:["179207"]
rollTimeSum:vii2581670 awardDistance:["18131568"]
rollTimeSum:viiiiiii5964334 awardDistance:["48611187"]
rollTimeSum:viiiiiii9171575 awardDistance:["2920707"]
rollTimeSum:viiiiiiiii4639134 awardDistance:["14082747"]
rollTimeSum:viiiiiiiii4836080 awardDistance:["179207"]
rollTimeSum:vvi4748550 awardDistance:["18131568"]
rollTimeSum:vviiiiii8131214 awardDistance:["48611187"]
rollTimeSum:vviiiiiii1338455 awardDistance:["2920707"]
rollTimeSum:vviiiiiiii6806014 awardDistance:["14082747"]
rollTimeSum:vviiiiiiii7002960 awardDistance:["179207"]
rollTimeSum:vvv6915430 awardDistance:["18131568"]
rollTimeSum:vvviiiiii298094 awardDistance:["48611187"]
rollTimeSum:vvviiiiii3505335 awardDistance:["2920707"]
rollTimeSum:vvviiiiiii8972894 awardDistance:["14082747"]
rollTimeSum:vvviiiiiii9169840 awardDistance:["179207"]
rollTimeSum:vvviiiiiiiii9082310 awardDistance:["18131568"]
rollTimeSum:vvvviiiii2464974 awardDistance:["48611187"]
rollTimeSum:vvvviiiii5672215 awardDistance:["2920707"]
rollTimeSum:vvvviiiiiii1139774 awardDistance:["14082747"]
rollTimeSum:vvvviiiiiii1336720 awardDistance:["179207"]
rollTimeSum:vvvviiiiiiiii1249190 awardDistance:["18131568"]
rollTimeSum:vvvvviiii4631854 awardDistance:["48611187"]
rollTimeSum:vvvvviiii7839095 awardDistance:["2920707"]
rollTimeSum:vvvvviiiiii3306654 awardDistance:["14082747"]
rollTimeSum:vvvvviiiiii3503600 awardDistance:["179207"]
rollTimeSum:vvvvviiiiiiii3416070 awardDistance:["18131568"]
rollTimeSum:vvvvvviii6798734 awardDistance:["48611187"]
rollTimeSum:vvvvvviiii5975 awardDistance:["2920707"]
rollTimeSum:vvvvvviiiii5473534 awardDistance:["14082747"]
rollTimeSum:vvvvvviiiii5670480 awardDistance:["179207"]
rollTimeSum:vvvvvviiiiiii5582950 awardDistance:["18131568"]
rollTimeSum:vvvvvvvii8965614 awardDistance:["48611187"]
rollTimeSum:vvvvvvviii2172855 awardDistance:["2920707"]
rollTimeSum:vvvvvvviiii7640414 awardDistance:["14082747"]
rollTimeSum:vvvvvvviiii7837360 awardDistance:["179207"]
rollTimeSum:vvvvvvviiiiii7749830 awardDistance:["18131568"]
rollTimeSum:vvvvvvvvii1132494 awardDistance:["48611187"]
rollTimeSum:vvvvvvvvii4339735 awardDistance:["2920707"]
rollTimeSum:vvvvvvvviii9807294 awardDistance:["14082747"]
rollTimeSum:vvvvvvvviiii4240 awardDistance:["179207"]
rollTimeSum:vvvvvvvviiiii9916710 awardDistance:["18131568"]
rollTimeSum:vvvvvvvvvi3299374 awardDistance:["48611187"]
rollTimeSum:vvvvvvvvvi6506615 awardDistance:["2920707"]
rollTimeSum:vvvvvvvvviii1974174 awardDistance:["14082747"]
rollTimeSum:vvvvvvvvviii2171120 awardDistance:["179207"]
rollTimeSum:vvvvvvvvviiiii2083590 awardDistance:["18131568"]
rollTimeSum:W5466254 awardDistance:["48611187"]
rollTimeSum:W8673495 awardDistance:["2920707"]
rollTimeSum:Wii4141054 awardDistance:["14082747"]
rollTimeSum:Wii4338000 awardDistance:["179207"]
rollTimeSum:Wiiii4250470 awardDistance:["18131568"]
rollTimeSum:Wiiiiiiiii7633134 awardDistance:["48611187"]
