01,23,24,28,33,#04,#05

07,10,22,23,33,#08,#11

03,11,12,19,21,#05,#11

14,19,23,27,34,#06,#12

04,05,19,31,35,#02,#12

08,12,14,15,19,#01,#10

03,16,22,23,27,#01,#04

12,14,21,32,33,#02,#11

03,04,16,18,25,#01,#11

04,07,21,22,29,#03,#06

11,12,14,16,26,#08,#09

01,03,04,11,29,#08,#12

11,13,15,21,27,#05,#06

07,16,20,21,34,#04,#06

08,10,12,19,20,#10,#11

06,09,29,32,35,#02,#04

08,09,21,30,31,#05,#12

06,07,21,29,30,#01,#10

21,22,25,27,30,#08,#09

06,09,11,16,35,#02,#05

04,0,5,14,21,34,#06,#09

07,11,13,22,29,#03,#08

01,14,17,21,33,#07,#10

02,06,13,18,25,#01,#02

12,18,26,28,29,#05,#06

08,12,27,31,33,#04,#08

03,07,08,09,29,#09,#10

03,16,27,28,32,#04,#05

06,19,21,27,28,#03,#11

10,16,23,25,34,#02,#05

09,10,24,31,32,#07,#12

07,08,09,10,22,#03,#04

04,14,17,24,31,#01,#04

01,16,19,20,31,#02,#07

01,13,14,26,28,#07,#11

14,24,26,28,35,#02,#03

06,07,13,22,24,#10,#12

03,14,15,23,29,#04,#05

06,20,21,26,30,#06,#09

12,13,16,20,21,#01,#07

02,15,18,25,27,#05,#07

10,12,14,18,23,#01,#04

13,14,20,28,34,#06,#10

07,14,18,29,35,#05,#12

11,16,25,30,34,#08,#10

03,11,16,18,33,#03,#11

05,07,14,18,19,#04,#10

06,22,26,28,31,#01,#07

06,20,24,33,34,#04,#11

26,27,28,32,34,#06,#10

08,09,21,25,33,#01,#08

03,14,19,23,25,#01,#04

16,24,29,31,#04,#05

01,02,14,25,31,#05,#07

06,11,17,22,35,#11,#12

07,12,25,27,28,#10,#11

01,02,14,17,18,#08,#10

02,10,13,21,35,#01,#12
						

07,16,24,26,31,#10,#11

03,04,10,27,29,#01,#05

07,11,12,22,30,#03,#06

01,06,09,15,26,#08,#09

07,18,28,29,32,#06,#08

01,06,12,20,34,#04,#12

03,09,12,28,3,0,#04,#12

13,19,24,25,29,#02,#08

05,12,17,24,26,#01,#02

02,05,23,30,31,#03,#09

02
						,05,10,16,30,#04,#07

01,08,13,21,#02,#11

08,12,16,26,33,#05,#06

03,07,12,18,31,#07,#10

01,20,23,32,33,#01,#04

07,10,28,31,32,#08,#10

01,03,04,11,29,#02,#04

05,14,15,32,34,#03,#10

12,14,19,23,35,#02,#07

04,10,12,28,31,#08,#11

04,22,27,29,31,#02,#10

01,09,10,27,35,#06,#11

09,11,12,26,32,#04,#10

13,19,22,27,28,#05,#06

02,04,16,28,34,#05,#07

03,07,20,33,34,#09,#10

09,10,12,20,30,#01,#07

11,16,21,23,25,#02,#12

05,16,18,19,25,#02,#07

09,18,28,29,35,#03,#11

22,24,26,34,35,#06,#12

04,07,09,10,13
						,#06,#12

02,03,11,20,25,#02,#07

03,08,10,14,20,#04,#08

10,20,29,32,#05,#10

02,05,20,30,35,#05,#09

02,04,06,18,21,#05,#08

03,06,13,28,33,#04,#11

03,19,25,29,35,#05,#09

01,23,25,31,33,#01,#12

05,07,18,27,31,#01,#08

02,07,14,29,32,#10,#11

