rollTimeSum:26172 awardDistance:["23903"]
rollTimeSum:435542 awardDistance:["372973"]
rollTimeSum:671400 awardDistance:["214810"]
rollTimeSum:894186 awardDistance:["202935"]
rollTimeSum:2936470 awardDistance:["1859530"]
rollTimeSum:3640059 awardDistance:["640994"]
rollTimeSum:7190731 awardDistance:["3232822"]
rollTimeSum:7469973 awardDistance:["254309"]
rollTimeSum:8612158 awardDistance:["1039811"]
rollTimeSum:9163984 awardDistance:["502383"]
rollTimeSum:9190640 awardDistance:["24269"]
rollTimeSum:i1053310 awardDistance:["1696128"]
rollTimeSum:i2008962 awardDistance:["870298"]
rollTimeSum:i2239024 awardDistance:["209211"]
rollTimeSum:i2397664 awardDistance:["144597"]
rollTimeSum:i5528801 awardDistance:["2850718"]
rollTimeSum:i6060509 awardDistance:["484436"]
rollTimeSum:i6230654 awardDistance:["154893"]
rollTimeSum:i7264824 awardDistance:["941565"]
rollTimeSum:i7623683 awardDistance:["326884"]
rollTimeSum:i8266457 awardDistance:["585044"]
rollTimeSum:i9575126 awardDistance:["1191285"]
rollTimeSum:ii243982 awardDistance:["609503"]
rollTimeSum:ii1731975 awardDistance:["1354950"]
rollTimeSum:ii1737911 awardDistance:["5400"]
rollTimeSum:ii2860787 awardDistance:["1022250"]
rollTimeSum:ii3036333 awardDistance:["159906"]
rollTimeSum:ii3172893 awardDistance:["124298"]
rollTimeSum:ii3472046 awardDistance:["272619"]
rollTimeSum:ii3620833 awardDistance:["135524"]
rollTimeSum:ii3890868 awardDistance:["245589"]
rollTimeSum:ii4119043 awardDistance:["208018"]
rollTimeSum:ii4459761 awardDistance:["310466"]
rollTimeSum:ii4609545 awardDistance:["136259"]
rollTimeSum:ii8171526 awardDistance:["3243215"]
rollTimeSum:ii8922950 awardDistance:["684404"]
rollTimeSum:iii725763 awardDistance:["1641554"]
rollTimeSum:iii1237637 awardDistance:["466120"]
rollTimeSum:iii1602153 awardDistance:["331728"]
rollTimeSum:iii2202795 awardDistance:["547023"]
rollTimeSum:iii3053023 awardDistance:["774267"]
rollTimeSum:iii3775933 awardDistance:["658098"]
rollTimeSum:iii4022473 awardDistance:["224341"]
rollTimeSum:iii5046708 awardDistance:["932798"]
rollTimeSum:iii5366485 awardDistance:["291330"]
rollTimeSum:iii5793869 awardDistance:["388837"]
rollTimeSum:iii6411693 awardDistance:["562583"]
rollTimeSum:iii6750091 awardDistance:["308286"]
rollTimeSum:iii7612931 awardDistance:["785866"]
rollTimeSum:iii8282908 awardDistance:["609928"]
rollTimeSum:iii9510326 awardDistance:["1118054"]
rollTimeSum:iiii197773 awardDistance:["625726"]
rollTimeSum:iiii1611598 awardDistance:["1287968"]
rollTimeSum:iiii1719622 awardDistance:["98460"]
rollTimeSum:iiii2228801 awardDistance:["463815"]
rollTimeSum:iiii2243904 awardDistance:["13732"]
rollTimeSum:iiii2279544 awardDistance:["32436"]
rollTimeSum:iiii2700839 awardDistance:["383940"]
rollTimeSum:iiii3157481 awardDistance:["415723"]
rollTimeSum:iiii3257138 awardDistance:["90900"]
rollTimeSum:iiii3704840 awardDistance:["407632"]
rollTimeSum:iiii7123655 awardDistance:["3112893"]
rollTimeSum:iiii8360213 awardDistance:["1125721"]
rollTimeSum:iiiii852139 awardDistance:["2269357"]
rollTimeSum:iiiii1082954 awardDistance:["210429"]
rollTimeSum:iiiii1542226 awardDistance:["418096"]
rollTimeSum:iiiii1593836 awardDistance:["46948"]
rollTimeSum:iiiii1635549 awardDistance:["37978"]
rollTimeSum:iiiii1760764 awardDistance:["113912"]
rollTimeSum:iiiii2332112 awardDistance:["520159"]
rollTimeSum:iiiii2742283 awardDistance:["374040"]
rollTimeSum:iiiii2746111 awardDistance:["3489"]
rollTimeSum:iiiii3842899 awardDistance:["998747"]
rollTimeSum:iiiii5286234 awardDistance:["1314493"]
rollTimeSum:iiiii6185735 awardDistance:["819536"]
rollTimeSum:iiiii7411410 awardDistance:["1115879"]
rollTimeSum:iiiii8461759 awardDistance:["956398"]
rollTimeSum:iiiii9001204 awardDistance:["491178"]
rollTimeSum:iiiii9498205 awardDistance:["452654"]
rollTimeSum:iiiiii930434 awardDistance:["1304117"]
rollTimeSum:iiiiii2032478 awardDistance:["1003171"]
rollTimeSum:iiiiii2167925 awardDistance:["123106"]
rollTimeSum:iiiiii2992371 awardDistance:["750765"]
rollTimeSum:iiiiii3699955 awardDistance:["644277"]
rollTimeSum:iiiiii4410822 awardDistance:["647149"]
rollTimeSum:iiiiii5144912 awardDistance:["668567"]
rollTimeSum:iiiiii5338596 awardDistance:["176398"]
rollTimeSum:iiiiii6093573 awardDistance:["687459"]
rollTimeSum:iiiiii6953348 awardDistance:["782959"]
rollTimeSum:iiiiii8153408 awardDistance:["1092809"]
rollTimeSum:iiiiii8694119 awardDistance:["492457"]
rollTimeSum:iiiiii9172360 awardDistance:["435697"]
rollTimeSum:iiiiii9359473 awardDistance:["170017"]
rollTimeSum:iiiiiii1579179 awardDistance:["2021391"]
rollTimeSum:iiiiiii2284514 awardDistance:["642364"]
rollTimeSum:iiiiiii2605756 awardDistance:["292458"]
rollTimeSum:iiiiiii3864210 awardDistance:["1145961"]
rollTimeSum:iiiiiii4963982 awardDistance:["1001567"]
rollTimeSum:iiiiiii5357067 awardDistance:["358259"]
rollTimeSum:iiiiiii5657998 awardDistance:["274085"]
rollTimeSum:iiiiiii6416980 awardDistance:["690792"]
rollTimeSum:iiiiiii6909286 awardDistance:["448154"]
rollTimeSum:iiiiiii7615560 awardDistance:["643120"]
rollTimeSum:iiiiiii9599246 awardDistance:["1806252"]
rollTimeSum:iiiiiii9744989 awardDistance:["132848"]
rollTimeSum:iiiiiiii720789 awardDistance:["888918"]
rollTimeSum:iiiiiiii4291626 awardDistance:["3251451"]
rollTimeSum:iiiiiiii4785174 awardDistance:["449302"]
rollTimeSum:iiiiiiii6188725 awardDistance:["1278679"]
rollTimeSum:iiiiiiii7347486 awardDistance:["1054956"]
rollTimeSum:iiiiiiii7621543 awardDistance:["249518"]
rollTimeSum:iiiiiiii9823777 awardDistance:["2004554"]
rollTimeSum:iiiiiiiii322762 awardDistance:["454236"]
rollTimeSum:iiiiiiiii607296 awardDistance:["259022"]
rollTimeSum:iiiiiiiii2513212 awardDistance:["1735381"]
rollTimeSum:iiiiiiiii2681075 awardDistance:["152775"]
rollTimeSum:iiiiiiiii2729305 awardDistance:["43924"]
rollTimeSum:iiiiiiiii2884256 awardDistance:["141079"]
rollTimeSum:iiiiiiiii3846825 awardDistance:["876482"]
rollTimeSum:iiiiiiiii3910200 awardDistance:["57866"]
rollTimeSum:iiiiiiiii4127820 awardDistance:["198241"]
rollTimeSum:iiiiiiiii4377209 awardDistance:["227016"]
rollTimeSum:iiiiiiiii5103350 awardDistance:["660717"]
rollTimeSum:iiiiiiiii5806939 awardDistance:["640994"]
rollTimeSum:iiiiiiiii9357611 awardDistance:["3232822"]
rollTimeSum:iiiiiiiii9636853 awardDistance:["254309"]
rollTimeSum:iiiiiiiiii779038 awardDistance:["1039811"]
rollTimeSum:iiiiiiiiii1330864 awardDistance:["502383"]
rollTimeSum:iiiiiiiiii1357520 awardDistance:["24269"]
rollTimeSum:iiiiiiiiii3220190 awardDistance:["1696128"]
rollTimeSum:iiiiiiiiii4175842 awardDistance:["870298"]
rollTimeSum:iiiiiiiiii4405904 awardDistance:["209211"]
rollTimeSum:iiiiiiiiii4564544 awardDistance:["144597"]
rollTimeSum:iiiiiiiiii7695681 awardDistance:["2850718"]
rollTimeSum:iiiiiiiiii8227389 awardDistance:["484436"]
rollTimeSum:iiiiiiiiii8397534 awardDistance:["154893"]
rollTimeSum:iiiiiiiiii9431704 awardDistance:["941565"]
rollTimeSum:iiiiiiiiii9790563 awardDistance:["326884"]
rollTimeSum:vi433337 awardDistance:["585044"]
rollTimeSum:vi1742006 awardDistance:["1191285"]
rollTimeSum:vi2410862 awardDistance:["609503"]
rollTimeSum:vi3898855 awardDistance:["1354950"]
rollTimeSum:vi3904791 awardDistance:["5400"]
rollTimeSum:vi5027667 awardDistance:["1022250"]
rollTimeSum:vi5203213 awardDistance:["159906"]
rollTimeSum:vi5339773 awardDistance:["124298"]
