rollTimeSum:72817 awardDistance:66358
rollTimeSum:2333582 awardDistance:2058983
rollTimeSum:3475347 awardDistance:1039644
rollTimeSum:3697712 awardDistance:202616
rollTimeSum:4181384 awardDistance:440054
rollTimeSum:4477324 awardDistance:269703
rollTimeSum:5146876 awardDistance:609473
rollTimeSum:5831885 awardDistance:623699
rollTimeSum:7773657 awardDistance:1768048
rollTimeSum:9353939 awardDistance:1439236
rollTimeSum:9893121 awardDistance:490849
rollTimeSum:i1064898 awardDistance:1066778
rollTimeSum:i2900391 awardDistance:1671375
rollTimeSum:i2964996 awardDistance:58916
rollTimeSum:i3101676 awardDistance:124631
rollTimeSum:i3245151 awardDistance:130584
rollTimeSum:i3418766 awardDistance:158025
rollTimeSum:i4355064 awardDistance:853022
rollTimeSum:i4829626 awardDistance:431765
rollTimeSum:i5902965 awardDistance:977013
rollTimeSum:i7667023 awardDistance:1606031
rollTimeSum:i8409681 awardDistance:676076
rollTimeSum:i9304650 awardDistance:814746
rollTimeSum:i9925192 awardDistance:565168
rollTimeSum:ii1549318 awardDistance:1478929
rollTimeSum:ii4410417 awardDistance:2604871
rollTimeSum:ii4799249 awardDistance:353952
rollTimeSum:ii4996317 awardDistance:179486
rollTimeSum:ii6033579 awardDistance:944223
rollTimeSum:ii6432422 awardDistance:363388
rollTimeSum:ii6666349 awardDistance:212818
rollTimeSum:iii165194 awardDistance:3185950
rollTimeSum:iii996246 awardDistance:756214
rollTimeSum:iii3223464 awardDistance:2028321
rollTimeSum:iii4700916 awardDistance:1345059
rollTimeSum:iii4765386 awardDistance:58667
rollTimeSum:iii5096963 awardDistance:301707
rollTimeSum:iii5319187 awardDistance:202471
rollTimeSum:iii5990409 awardDistance:611254
rollTimeSum:iii6743175 awardDistance:685814
rollTimeSum:iii6897844 awardDistance:140772
rollTimeSum:iii7327533 awardDistance:391532
rollTimeSum:iii8725383 awardDistance:1272599
rollTimeSum:iiii704244 awardDistance:1802180
rollTimeSum:iiii3075772 awardDistance:2158916
rollTimeSum:iiii4203945 awardDistance:1027414
rollTimeSum:iiii5399106 awardDistance:1088220
rollTimeSum:iiiii2703090 awardDistance:6650850
rollTimeSum:iiiii2733051 awardDistance:27321
rollTimeSum:iiiii4082125 awardDistance:1228549
rollTimeSum:iiiii4178143 awardDistance:87453
rollTimeSum:iiiii5227697 awardDistance:955770
rollTimeSum:iiiii5250036 awardDistance:20367
rollTimeSum:iiiii6442375 awardDistance:1085793
rollTimeSum:iiiii6656201 awardDistance:194637
rollTimeSum:iiiii6869221 awardDistance:193990
rollTimeSum:iiiii7143003 awardDistance:249223
rollTimeSum:iiiii7521468 awardDistance:345161
rollTimeSum:iiiii9319250 awardDistance:1637510
rollTimeSum:iiiii9441871 awardDistance:111847
rollTimeSum:iiiiii1679206 awardDistance:2037374
rollTimeSum:iiiiii1694482 awardDistance:13872
rollTimeSum:iiiiii2397629 awardDistance:640098
rollTimeSum:iiiiii2409396 awardDistance:10675
rollTimeSum:iiiiii3014027 awardDistance:550627
rollTimeSum:iiiiii3941721 awardDistance:844539
rollTimeSum:iiiiii4352390 awardDistance:373779
rollTimeSum:iiiiii4566513 awardDistance:194912
rollTimeSum:iiiiii5096370 awardDistance:482535
rollTimeSum:iiiiii5723307 awardDistance:571135
rollTimeSum:iiiiii6108813 awardDistance:350823
rollTimeSum:iiiiii7238051 awardDistance:1028717
rollTimeSum:iiiiii8217778 awardDistance:891758
rollTimeSum:iiiiii9860957 awardDistance:1496821
rollTimeSum:iiiiiii1744148 awardDistance:1714929
rollTimeSum:iiiiiii2184897 awardDistance:401680
rollTimeSum:iiiiiii3458572 awardDistance:1159749
rollTimeSum:iiiiiii3580353 awardDistance:110879
rollTimeSum:iiiiiii4741652 awardDistance:1057486
rollTimeSum:iiiiiii4795037 awardDistance:48609
rollTimeSum:iiiiiii5259776 awardDistance:423132
rollTimeSum:iiiiiii5344394 awardDistance:77053
rollTimeSum:iiiiiii7139474 awardDistance:1634593
rollTimeSum:iiiiiii7325532 awardDistance:169340
rollTimeSum:iiiiiii9746780 awardDistance:2204153
rollTimeSum:iiiiiiii1207196 awardDistance:1329739
rollTimeSum:iiiiiiii4403609 awardDistance:2911015
rollTimeSum:iiiiiiii4776991 awardDistance:340071
rollTimeSum:iiiiiiii5453513 awardDistance:615870
rollTimeSum:iiiiiiii6067231 awardDistance:558926
rollTimeSum:iiiiiiii6461871 awardDistance:359330
rollTimeSum:iiiiiiii7629720 awardDistance:1063495
rollTimeSum:iiiiiiiii1088700 awardDistance:3149697
rollTimeSum:iiiiiiiii1092438 awardDistance:3380
rollTimeSum:iiiiiiiii1858933 awardDistance:698525
rollTimeSum:iiiiiiiii4384184 awardDistance:2298868
rollTimeSum:iiiiiiiii5869271 awardDistance:1352422
rollTimeSum:iiiiiiiii6043830 awardDistance:159006
rollTimeSum:iiiiiiiii7216375 awardDistance:1067905
rollTimeSum:iiiiiiiii8579217 awardDistance:1240770
rollTimeSum:iiiiiiiii8579869 awardDistance:598
rollTimeSum:iiiiiiiii9422796 awardDistance:767854
rollTimeSum:iiiiiiiii9725335 awardDistance:275325
rollTimeSum:iiiiiiiiii1080185 awardDistance:1233724
rollTimeSum:iiiiiiiiii3239479 awardDistance:1966651
rollTimeSum:iiiiiiiiii3398146 awardDistance:144506
rollTimeSum:iiiiiiiiii3980794 awardDistance:530476
rollTimeSum:iiiiiiiiii4767100 awardDistance:715729
rollTimeSum:iiiiiiiiii4912571 awardDistance:132430
rollTimeSum:iiiiiiiiii5971090 awardDistance:963493
rollTimeSum:iiiiiiiiii6373682 awardDistance:366465
rollTimeSum:iiiiiiiiii6715674 awardDistance:311413
rollTimeSum:iiiiiiiiii7807651 awardDistance:994142
rollTimeSum:vi1471530 awardDistance:3335927
rollTimeSum:vi2092072 awardDistance:565168
rollTimeSum:vi3716198 awardDistance:1478929
rollTimeSum:vi6577297 awardDistance:2604871
rollTimeSum:vi6966129 awardDistance:353952
rollTimeSum:vi7163197 awardDistance:179486
rollTimeSum:vi8200459 awardDistance:944223
rollTimeSum:vi8599302 awardDistance:363388
rollTimeSum:vi8833229 awardDistance:212818
rollTimeSum:vii2332074 awardDistance:3185950
rollTimeSum:vii3163126 awardDistance:756214
rollTimeSum:vii5390344 awardDistance:2028321
rollTimeSum:vii6867796 awardDistance:1345059
rollTimeSum:vii6932266 awardDistance:58667
