rollTimeSum:6425 awardDistance:["5872"]
rollTimeSum:54703 awardDistance:["44015"]
rollTimeSum:59221 awardDistance:["4108"]
rollTimeSum:84015 awardDistance:["22565"]
rollTimeSum:184616 awardDistance:["91763"]
rollTimeSum:388906 awardDistance:["186050"]
rollTimeSum:437282 awardDistance:["44086"]
rollTimeSum:447676 awardDistance:["9454"]
rollTimeSum:550721 awardDistance:["93978"]
rollTimeSum:580669 awardDistance:["27305"]
rollTimeSum:607627 awardDistance:["24497"]
rollTimeSum:667968 awardDistance:["54864"]
rollTimeSum:681023 awardDistance:["11929"]
rollTimeSum:713504 awardDistance:["29568"]
rollTimeSum:742539 awardDistance:["26492"]
rollTimeSum:809812 awardDistance:["61261"]
rollTimeSum:889144 awardDistance:["72238"]
rollTimeSum:892066 awardDistance:["2644"]
rollTimeSum:915909 awardDistance:["21747"]
rollTimeSum:973202 awardDistance:["52212"]
rollTimeSum:1043549 awardDistance:["64112"]
rollTimeSum:1055070 awardDistance:["10516"]
rollTimeSum:1119812 awardDistance:["58894"]
rollTimeSum:1122889 awardDistance:["2804"]
rollTimeSum:1225939 awardDistance:["93884"]
rollTimeSum:1284951 awardDistance:["53775"]
rollTimeSum:1316428 awardDistance:["28688"]
rollTimeSum:1325873 awardDistance:["8603"]
rollTimeSum:1344684 awardDistance:["17136"]
rollTimeSum:1366239 awardDistance:["19689"]
rollTimeSum:1412025 awardDistance:["41718"]
rollTimeSum:1505534 awardDistance:["85252"]
rollTimeSum:1552443 awardDistance:["42719"]
rollTimeSum:1625676 awardDistance:["66705"]
rollTimeSum:1721381 awardDistance:["87118"]
rollTimeSum:1745569 awardDistance:["22023"]
rollTimeSum:1840752 awardDistance:["86741"]
rollTimeSum:1852491 awardDistance:["10680"]
rollTimeSum:1858913 awardDistance:["5822"]
rollTimeSum:1974868 awardDistance:["105495"]
rollTimeSum:2062260 awardDistance:["79550"]
rollTimeSum:2181867 awardDistance:["109069"]
rollTimeSum:2217295 awardDistance:["32286"]
rollTimeSum:2221523 awardDistance:["3851"]
rollTimeSum:2235198 awardDistance:["12397"]
rollTimeSum:2255562 awardDistance:["18486"]
rollTimeSum:2275680 awardDistance:["18312"]
rollTimeSum:2465288 awardDistance:["172572"]
rollTimeSum:2499958 awardDistance:["31467"]
rollTimeSum:2539631 awardDistance:["36121"]
rollTimeSum:2571936 awardDistance:["29307"]
rollTimeSum:2648490 awardDistance:["69616"]
rollTimeSum:2687304 awardDistance:["35320"]
rollTimeSum:2707234 awardDistance:["18247"]
rollTimeSum:2757233 awardDistance:["45408"]
rollTimeSum:2887198 awardDistance:["118233"]
rollTimeSum:2916048 awardDistance:["26264"]
rollTimeSum:3009741 awardDistance:["85387"]
rollTimeSum:3155844 awardDistance:["133154"]
rollTimeSum:3404441 awardDistance:["226457"]
rollTimeSum:3407997 awardDistance:["3276"]
rollTimeSum:3479020 awardDistance:["64815"]
rollTimeSum:3512857 awardDistance:["30720"]
rollTimeSum:3516148 awardDistance:["2961"]
rollTimeSum:3698853 awardDistance:["166307"]
rollTimeSum:3701920 awardDistance:["2814"]
rollTimeSum:3754883 awardDistance:["48144"]
rollTimeSum:4052644 awardDistance:["270947"]
rollTimeSum:4077088 awardDistance:["22268"]
rollTimeSum:4078344 awardDistance:["1149"]
rollTimeSum:4098618 awardDistance:["18399"]
rollTimeSum:4110745 awardDistance:["11038"]
rollTimeSum:4171783 awardDistance:["55553"]
rollTimeSum:4276150 awardDistance:["95163"]
rollTimeSum:4290518 awardDistance:["13103"]
rollTimeSum:4324428 awardDistance:["30935"]
rollTimeSum:4352322 awardDistance:["25380"]
rollTimeSum:4355752 awardDistance:["3146"]
rollTimeSum:4397100 awardDistance:["37655"]
rollTimeSum:4423744 awardDistance:["24278"]
rollTimeSum:4429867 awardDistance:["5546"]
rollTimeSum:4446300 awardDistance:["14969"]
rollTimeSum:4589510 awardDistance:["130352"]
rollTimeSum:4712347 awardDistance:["111781"]
rollTimeSum:4733891 awardDistance:["19538"]
rollTimeSum:4832508 awardDistance:["89856"]
rollTimeSum:4865842 awardDistance:["30440"]
rollTimeSum:4869682 awardDistance:["3511"]
rollTimeSum:4875671 awardDistance:["5453"]
rollTimeSum:4930073 awardDistance:["49613"]
rollTimeSum:4972026 awardDistance:["38162"]
rollTimeSum:5045625 awardDistance:["67014"]
rollTimeSum:5115069 awardDistance:["63292"]
rollTimeSum:5161372 awardDistance:["42227"]
rollTimeSum:5223123 awardDistance:["56313"]
rollTimeSum:5304058 awardDistance:["73657"]
rollTimeSum:5318896 awardDistance:["13506"]
rollTimeSum:5496513 awardDistance:["161654"]
rollTimeSum:5626110 awardDistance:["117934"]
rollTimeSum:5654849 awardDistance:["26147"]
rollTimeSum:5775500 awardDistance:["109770"]
rollTimeSum:5796411 awardDistance:["19018"]
rollTimeSum:5839486 awardDistance:["39289"]
