rollTimeSum:21085 awardDistance:19181
rollTimeSum:64310 awardDistance:39323
rollTimeSum:99079 awardDistance:31658
rollTimeSum:154261 awardDistance:50359
rollTimeSum:176810 awardDistance:20520
rollTimeSum:218940 awardDistance:38395
rollTimeSum:316990 awardDistance:89147
rollTimeSum:344120 awardDistance:24683
rollTimeSum:373245 awardDistance:26458
rollTimeSum:444977 awardDistance:65474
rollTimeSum:461682 awardDistance:15248
rollTimeSum:563882 awardDistance:93127
rollTimeSum:583046 awardDistance:17415
rollTimeSum:696325 awardDistance:102892
rollTimeSum:733423 awardDistance:33846
rollTimeSum:754453 awardDistance:19120
rollTimeSum:759624 awardDistance:4712
rollTimeSum:780522 awardDistance:19014
rollTimeSum:866954 awardDistance:78810
rollTimeSum:886933 awardDistance:18190
rollTimeSum:942565 awardDistance:50637
rollTimeSum:970041 awardDistance:24994
rollTimeSum:i16000 awardDistance:41790
rollTimeSum:i30419 awardDistance:13147
rollTimeSum:i164375 awardDistance:121935
rollTimeSum:i215375 awardDistance:46564
rollTimeSum:i392431 awardDistance:161138
rollTimeSum:i400859 awardDistance:7674
rollTimeSum:i415578 awardDistance:13417
rollTimeSum:i442403 awardDistance:24452
rollTimeSum:i493078 awardDistance:46189
rollTimeSum:i495244 awardDistance:1972
rollTimeSum:i515433 awardDistance:18406
rollTimeSum:i551765 awardDistance:33027
rollTimeSum:i557926 awardDistance:5626
rollTimeSum:i628910 awardDistance:64619
rollTimeSum:i701563 awardDistance:66127
rollTimeSum:i733388 awardDistance:28905
rollTimeSum:i778486 awardDistance:41003
rollTimeSum:i814565 awardDistance:32785
rollTimeSum:i870414 awardDistance:50835
rollTimeSum:i870893 awardDistance:430
rollTimeSum:ii7800 awardDistance:124506
rollTimeSum:ii111645 awardDistance:94595
rollTimeSum:ii137848 awardDistance:23866
rollTimeSum:ii337083 awardDistance:181540
rollTimeSum:ii351007 awardDistance:12725
rollTimeSum:ii412453 awardDistance:55905
rollTimeSum:ii458666 awardDistance:42113
rollTimeSum:ii613443 awardDistance:141119
rollTimeSum:ii690364 awardDistance:70046
rollTimeSum:ii696309 awardDistance:5386
rollTimeSum:ii803271 awardDistance:97404
rollTimeSum:ii845551 awardDistance:38456
rollTimeSum:ii887066 awardDistance:37773
rollTimeSum:ii948700 awardDistance:56037
rollTimeSum:ii958074 awardDistance:8490
rollTimeSum:ii983142 awardDistance:22872
rollTimeSum:iii33792 awardDistance:46006
rollTimeSum:iii73092 awardDistance:35885
rollTimeSum:iii313018 awardDistance:218271
rollTimeSum:iii352217 awardDistance:35613
rollTimeSum:iii436405 awardDistance:76811
rollTimeSum:iii449254 awardDistance:11709
rollTimeSum:iii485381 awardDistance:32936
rollTimeSum:iii559313 awardDistance:67365
rollTimeSum:iii622446 awardDistance:57502
rollTimeSum:iii629695 awardDistance:6575
rollTimeSum:iii644098 awardDistance:13094
rollTimeSum:iii814091 awardDistance:154706
rollTimeSum:iii850175 awardDistance:32947
rollTimeSum:iii890424 awardDistance:36542
rollTimeSum:iiii36859 awardDistance:133345
rollTimeSum:iiii81554 awardDistance:40794
rollTimeSum:iiii139334 awardDistance:52658
rollTimeSum:iiii145243 awardDistance:5365
rollTimeSum:iiii159618 awardDistance:13082
rollTimeSum:iiii258492 awardDistance:90071
rollTimeSum:iiii264501 awardDistance:5443
rollTimeSum:iiii303231 awardDistance:35274
rollTimeSum:iiii363316 awardDistance:54812
rollTimeSum:iiii381860 awardDistance:16931
rollTimeSum:iiii397739 awardDistance:14489
rollTimeSum:iiii418232 awardDistance:18680
rollTimeSum:iiii537274 awardDistance:108370
rollTimeSum:iiii755502 awardDistance:198566
rollTimeSum:iiii768926 awardDistance:12221
rollTimeSum:iiii839340 awardDistance:64069
rollTimeSum:iiii852880 awardDistance:12287
rollTimeSum:iiii888430 awardDistance:32454
rollTimeSum:iiii899494 awardDistance:10030
rollTimeSum:iiii998861 awardDistance:90441
rollTimeSum:iiiii4932 awardDistance:5529
rollTimeSum:iiiii10733 awardDistance:5303
rollTimeSum:iiiii18377 awardDistance:6958
rollTimeSum:iiiii149300 awardDistance:119104
rollTimeSum:iiiii250960 awardDistance:92594
rollTimeSum:iiiii312834 awardDistance:56386
rollTimeSum:iiiii424962 awardDistance:102184
rollTimeSum:iiiii455689 awardDistance:27988
rollTimeSum:iiiii457290 awardDistance:1447
rollTimeSum:iiiii482818 awardDistance:23229
rollTimeSum:iiiii502506 awardDistance:17944
rollTimeSum:iiiii531544 awardDistance:26418
rollTimeSum:iiiii533122 awardDistance:1430
rollTimeSum:iiiii536429 awardDistance:3025
rollTimeSum:iiiii536786 awardDistance:321
rollTimeSum:iiiii571175 awardDistance:31327
rollTimeSum:iiiii619976 awardDistance:44396
rollTimeSum:iiiii663602 awardDistance:39701
rollTimeSum:iiiii665130 awardDistance:1393
rollTimeSum:iiiii745838 awardDistance:73444
rollTimeSum:iiiii791138 awardDistance:41277
rollTimeSum:iiiii864127 awardDistance:66622
rollTimeSum:iiiii878922 awardDistance:13515
rollTimeSum:iiiii885223 awardDistance:5754
rollTimeSum:iiiii895371 awardDistance:9206
rollTimeSum:iiiiii83814 awardDistance:171518
rollTimeSum:iiiiii105012 awardDistance:19321
rollTimeSum:iiiiii105720 awardDistance:641
rollTimeSum:iiiiii105990 awardDistance:245
rollTimeSum:iiiiii119035 awardDistance:11832
rollTimeSum:iiiiii122395 awardDistance:3061
rollTimeSum:iiiiii231175 awardDistance:99069
rollTimeSum:iiiiii258486 awardDistance:24817
rollTimeSum:iiiiii279607 awardDistance:19260
rollTimeSum:iiiiii494436 awardDistance:195534
rollTimeSum:iiiiii545576 awardDistance:46680
rollTimeSum:iiiiii578853 awardDistance:30268
rollTimeSum:iiiiii642463 awardDistance:57848
rollTimeSum:iiiiii671067 awardDistance:26018
rollTimeSum:iiiiii724594 awardDistance:48659
rollTimeSum:iiiiii753928 awardDistance:26715
rollTimeSum:iiiiii777730 awardDistance:21707
rollTimeSum:iiiiii790059 awardDistance:11185
rollTimeSum:iiiiii818144 awardDistance:25521
rollTimeSum:iiiiii879289 awardDistance:55631
rollTimeSum:iiiiii897514 awardDistance:16574
rollTimeSum:iiiiii909741 awardDistance:11145
rollTimeSum:iiiiii964676 awardDistance:50024
rollTimeSum:iiiiii984254 awardDistance:17890
rollTimeSum:iiiiiii59515 awardDistance:68627
rollTimeSum:iiiiiii166416 awardDistance:97250
rollTimeSum:iiiiiii191756 awardDistance:23050
